,ST GEORGE FERRY/S44 & S94,HENDERSON AV/BARD AV,RING RD/MACYS PLATINUM AV,PORT RICHMOND AV/HATFIELD PL,PORT RICHMOND AV/CLINTON PL,WALKER ST/TRANTOR PL,RICHMOND AV/SIGNS RD,RICHMOND AV/RICHMOND HILL RD,POST AV/CLOVE RD,PORT RICHMOND AV/HOOKER PL,RICHMOND AV/MARC ST,HENDERSON AV/BEMENT AV,MORNINGSTAR RD/ST ADALBERT PL,RICHMOND AV/AMSTERDAM PL,RICHMOND AV/BARON HIRSCH CEM,RICHMOND AV/MERRILL AV,RICHMOND AV/ROCKLAND AV,YUKON AV/WATCHMANS OFFICE,YUKON AV/KMART DWY,MORNINGSTAR RD/BOWLES AV,CARY AV/CLOVE RD,RICHMOND AV/MORANI ST,RICHMOND AV/FOREST ST,MORNINGSTAR RD/WALKER ST,POST AV/DECKER AV,RICHMOND AV/CHRISTOPHER LA,HENDERSON AV/LAFAYETTE AV,RICHMOND AV/NOME AV,MORNINGSTAR RD/DAVID PL,RICHMOND AV/TRAVIS AV,RICHMOND TER/SCHUYLER ST,POST AV/JEWETT AV,RICHMOND AV/RIVINGTON AV,WALKER ST/PORT RICHMOND AV,BEMENT AV/HENDERSON AV,RICHMOND AV/DRAPER PL S,RICHMOND AV/YONA AV,MORNINGSTAR RD/DIXON AV,RICHMOND AV/VICTORY BL,YUKON AV/KMART DRWY,RICHMOND AV/VEDDER AV,POST AV/PORT RICHMOND AV,RICHMOND AV/MONSEY PL,RICHMOND AV/W CASWELL AV,PORT RICHMOND AV/HOMESTEAD AV,RICHMOND AV/LAMBERTS LA,PORT RICHMOND AV/CATHERINE ST,CARY AV/BROADWAY,RICHMOND AV/CARNEGIE AV,RING RD/SEARS PLATINUM AV,RICHMOND AV/JULES DR,RICHMOND AV/LANDER AV,LAFAYETTE AV/HENDERSON AV,RICHMOND AV/ARMAND ST,MORNINGSTAR RD/FOREST  AV,ST GEORGE FERRY/ST GEORGE FERRY,RICHMOND AV/ETON PL,RICHMOND AV/YUKON AV,RICHMOND AV/GOETHALS RD N,YUKON AV/RICHMOND AV,Yukon Depot (YU)
ST GEORGE FERRY/S44 & S94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.677 LIMITED S I MALL YUKON AV,,,,,,,,
HENDERSON AV/BARD AV,,,,,,,,,,,,0.48 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,1.097 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RING RD/MACYS PLATINUM AV,,,,,,,,0.714 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.567 LIMITED S I MALL YUKON AV,,,,,,,,,,,
PORT RICHMOND AV/HATFIELD PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/CLINTON PL,,,,,,,,,,0.295 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALKER ST/TRANTOR PL,,,,,,,,,,,,,,,,,,,,,,,,0.253 LIMITED S I MALL YUKON AV,,,,,,,,,,0.308 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/SIGNS RD,,,,,,,,,,,,,,0.554 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865 LIMITED ST GEORGE FERRY,,,,
RICHMOND AV/RICHMOND HILL RD,,,0.608 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,1.238 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POST AV/CLOVE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.712 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,
PORT RICHMOND AV/HOOKER PL,,,,,,0.395 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MARC ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.623 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,
HENDERSON AV/BEMENT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.898 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,
MORNINGSTAR RD/ST ADALBERT PL,,,,,,,,,,,,,,,,,,,,,,,,0.177 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/AMSTERDAM PL,,,,,,,0.554 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,1.611 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/BARON HIRSCH CEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.621 LIMITED S I MALL YUKON AV,,,,,,,,,,
RICHMOND AV/MERRILL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.825 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/ROCKLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 LIMITED S I MALL YUKON AV,,,0.93 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUKON AV/WATCHMANS OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.452 LIMITED ST GEORGE FERRY,,,
YUKON AV/KMART DWY,,,,,,,,,,,,,,,,,,0.146 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORNINGSTAR RD/BOWLES AV,,,,,,,,,,,,,0.247 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARY AV/CLOVE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.496 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MORANI ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.721 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/FOREST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 LIMITED S I MALL YUKON AV,,,,,,,,,,,,
MORNINGSTAR RD/WALKER ST,,,,,,0.253 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,0.164 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POST AV/DECKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 LIMITED ST GEORGE FERRY,,,,,,,,,,0.299 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,
RICHMOND AV/CHRISTOPHER LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.149 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,
HENDERSON AV/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.493 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/NOME AV,,,,,,,,0.251 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,
MORNINGSTAR RD/DAVID PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/TRAVIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/SCHUYLER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.485 LIMITED ST GEORGE FERRY,,,,,
POST AV/JEWETT AV,,,,,,,,,0.462 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,0.269 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/RIVINGTON AV,,,,,,,,,,,,,,0.964 LIMITED ST GEORGE FERRY,,,1.615 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALKER ST/PORT RICHMOND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,
BEMENT AV/HENDERSON AV,,0.48 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/DRAPER PL S,,,,,,,,,,,,,,,,,1.047 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/YONA AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORNINGSTAR RD/DIXON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,
RICHMOND AV/VICTORY BL,,,,,,,,,,,,,,,,,,,,,,0.852 LIMITED ST GEORGE FERRY,0.251 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUKON AV/KMART DRWY,,,,,,,,,,,,,,,,,,,0.001 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.759 to depot of S94
RICHMOND AV/VEDDER AV,,,,,,,,,,,,,,,0.688 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341 LIMITED ST GEORGE FERRY,,,,,,
POST AV/PORT RICHMOND AV,,,,,0.253 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,0.299 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MONSEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/W CASWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.737 LIMITED ST GEORGE FERRY,,,,,,,
PORT RICHMOND AV/HOMESTEAD AV,,,,0.166 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/LAMBERTS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191 LIMITED S I MALL YUKON AV,,,,,,,,,
PORT RICHMOND AV/CATHERINE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,
CARY AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,0.679 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,0.898 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/CARNEGIE AV,,,,,,,0.739 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RING RD/SEARS PLATINUM AV,,,0.567 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537 LIMITED S I MALL YUKON AV,
RICHMOND AV/JULES DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.222 LIMITED S I MALL YUKON AV,,
RICHMOND AV/LANDER AV,,,,,,,,,,,,,,,,0.383 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/HENDERSON AV,,1.097 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/ARMAND ST,,,,,,,,,,,0.214 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORNINGSTAR RD/FOREST  AV,,,,,,,,,,,,,,,,,,,,0.264 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/ST GEORGE FERRY,0.049 LIMITED S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/ETON PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.198 LIMITED ST GEORGE FERRY,,,,,,,,,,,
