,WALKER ST/PULASKI AV,CASTLETON AV/BROADWAY,BRABANT ST/GRANDVIEW AV,SOUTH AV/TRAVIS AV,TELEPORT DR/SOUTH AV #2,TELEPORT DR/SOUTH AV #1,INNIS ST/NICHOLAS AV,WEST SHORE PLAZA/CHELSEA ST,WALLOON ST/MAPLE PY,WALKER ST/VAN NAME AV,CASTLETON AV/PORT RICHMOND AV,ST GEORGE FERRY/ST GEORGE FERRY,CASTLETON AV/SHARPE AV,LINDEN AV/VAN PELT AV,CASTLETON AV/CLOVE RD,NICHOLAS AV/CHARLES AV,GRANDVIEW AV/CONTINENTAL PL,UNION AV/BRABANT ST,SOUTH AV/OPP 1000 SOUTH AV,CASTLETON AV/TREADWELL AV,INNIS ST/ST JOSEPH AV,CASTLETON AV/JEWETT AV,CASTLETON AV/NICHOLAS AV,VICTORY BL / BAY ST,CASTLETON AV/BARD AV,BAY ST/SLOSSON TE,TELEPORT DR/CORP COMMONS BLDG,SOUTH AV/TELEPORT DR,SOUTH AV/CABLE WAY,DE RUYTER PL/VAN PELT AV,BRABANT ST/UNION AV,ST GEORGE FERRY/S46 & S96,INNIS ST/EATON PL,NONSTOP/FOR LTD SERVICE,WALKER ST/VAN PELT AV,WALKER ST/SIMONSON AV,SOUTH AV/1200 SOUTH AV,BRABANT ST/LOCKMAN AV,GRANDVIEW AV/FOREST AV,BAY ST/NICK LAPORTE PL,WALKER ST/MORNINGSTAR RD,GRANDVIEW AV/BRABANT ST,SOUTH AV/FOREST AV,SOUTH AV/HILTON HOTEL,NICHOLAS AV/CASTLETON AV,CASTLETON AV/BRIGHTON AV,MAPLE PY/WALLOON ST,SOUTH AV/GOETHALS RD N,CASTLETON AV/BEMENT AV,MORNINGSTAR RD/INNIS ST,SOUTH AV/1000 SOUTH AV,SOUTH AV/AMADOR ST,BAY ST/BOROUGH PL,INNIS ST/JOHN ST,MORNINGSTAR RD/KALVER PL,Yukon Depot (YU)
WALKER ST/PULASKI AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/BROADWAY,,,,,,,,,,,,,,,0.742 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,0.444 LIMITED ST GEORGE via CASTLETON,,,,,,,,,,,,,,,,,,,,,,
BRABANT ST/GRANDVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH AV/TRAVIS AV,,,,,,0.818 LIMITED ST GEORGE via CASTLETON,,0.628 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.788 to depot of S96
TELEPORT DR/SOUTH AV #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.497 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELEPORT DR/SOUTH AV #1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INNIS ST/NICHOLAS AV,,,,,,,,,,,,,,,,0.21 LIMITED ST GEORGE via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST SHORE PLAZA/CHELSEA ST,,,,0.65 LIMITED ST GEORGE via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLOON ST/MAPLE PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 LIMITED ST GEORGE via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,
WALKER ST/VAN NAME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.517 LIMITED ST GEORGE via CASTLETON,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/PORT RICHMOND AV,,,,,,,,,,,,,0.217 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,0.521 LIMITED ST GEORGE via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075 LIMITED ST GEORGE via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/SHARPE AV,,,,,,,,,,,,,,,,,,,,,,,0.251 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN AV/VAN PELT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,
CASTLETON AV/CLOVE RD,,0.742 LIMITED ST GEORGE via CASTLETON,,,,,,,,,,,,,,,,,,,,0.299 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NICHOLAS AV/CHARLES AV,,,,,,,,,,,,,,,,,,,,,0.306 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,0.129 LIMITED ST GEORGE via CASTLETON,,,,,,,,,,,
GRANDVIEW AV/CONTINENTAL PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206 LIMITED ST GEORGE via CASTLETON,,,,,,,,,,,,,,
UNION AV/BRABANT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,
SOUTH AV/OPP 1000 SOUTH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.108 LIMITED ST GEORGE via CASTLETON,,,,,,,,
CASTLETON AV/TREADWELL AV,,,,,,,,,,,0.293 LIMITED ST GEORGE via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INNIS ST/ST JOSEPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/JEWETT AV,,,,,,,,,,,0.521 LIMITED W SHORE PLZ via CASTLETON,,,,0.299 LIMITED ST GEORGE via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/NICHOLAS AV,,,,,,,,,,,,,,,,0.129 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL / BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.431 LIMITED ST GEORGE via CASTLETON,,,,,,,,,,,,,,,,,,,,2.075 LIMITED W SHORE PLZ via CASTLETON,,,,,,,,,,
CASTLETON AV/BARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.793 LIMITED ST GEORGE via CASTLETON,,,0.485 LIMITED W SHORE PLZ via CASTLETON,,,,,,,
BAY ST/SLOSSON TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 LIMITED ST GEORGE via CASTLETON,,,
