,MADISON AV/E 59 ST,HUGUENOT AV/RAILEY CT,HUGUENOT AV/RAMONA AV,HYLAN BL/LUTEN AV,E 34 ST/5 AV,5 AV/W 43 ST,5 AV/W 59 ST,HUGUENOT AV/WOODROW RD,HUGUENOT AV/AMBOY RD,5 AV/W 54 ST,ARTHUR KILL RD/WEST SERVICE RD,MADISON AV/E 37 ST,W 34 ST/7 AV,HUGUENOT AV/LOMBARD CT,HUGUENOT AV/AVON GREEN,HUGUENOT AV/AVON GRN,W 34 ST/6 AV,HUGUENOT AV/DRUMGOOLE RD E,MADISON AV/E 55 ST,VETRANS RD E/ARTHUR KILL RD,W 34 ST/9 AV,5 AV/W 38 ST,W 34 ST/5 AV,ARTHUR KILL RD/VETERANS RD E,5 AV/W 46 ST,W 34 ST/8 AV,MADISON AV/E 43 ST,HUGUENOT AV/RATHBUN AV,W 34 ST/BROADWAY,MADISON AV/E 48 ST,HUGUENOT AV/ DRUMGOOLE RD E,Charleston Depot (CH)
MADISON AV/E 59 ST,,,,,,,0.38 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,
HUGUENOT AV/RAILEY CT,,,,,,,,,,,,,,,0.428 PRINCES BAY via HUGUENOT AV,,,,,,,,,,,,,,,,,
HUGUENOT AV/RAMONA AV,,,,,,,,0.476 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/LUTEN AV,,,,,,,,,2.775 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,
E 34 ST/5 AV,,,,,,,,,,,,1.011 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,
5 AV/W 43 ST,,,,,,,,,,,,,,,,,,,,,,0.383 PRINCES BAY via HUGUENOT AV,,,,,,,,,,
5 AV/W 59 ST,,,,,,,,,,0.459 PRINCES BAY via HUGUENOT AV,,,,,,,,,,,,,,,,,,,,,,
HUGUENOT AV/WOODROW RD,,,,,,,,,,,,,,,,1.214 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,0.39 PRINCES BAY via HUGUENOT AV,,,,49.593 to depot of SIM24
HUGUENOT AV/AMBOY RD,,,,1.234 PRINCES BAY via HUGUENOT AV,,,,,,,,,,,,,,0.313 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,
5 AV/W 54 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.583 PRINCES BAY via HUGUENOT AV,,,,,,,
ARTHUR KILL RD/WEST SERVICE RD,,,,,,,,,,,,,,,,,,,,,,,,3.214 PRINCES BAY via HUGUENOT AV,,,,,,,,
MADISON AV/E 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.501 MIDTOWN via 34 ST via MADISON AV,,,,,
W 34 ST/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 PRINCES BAY via HUGUENOT AV,,,0.257 MIDTOWN via 34 ST via MADISON AV,,,
HUGUENOT AV/LOMBARD CT,,,,,,,,,,,,,,,,,,,,1.542 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,
HUGUENOT AV/AVON GREEN,,,,,,,,0.664 PRINCES BAY via HUGUENOT AV,,,,,,,,,,,,,,,,,,,,,,,,
HUGUENOT AV/AVON GRN,,,,,,,,,,,,,,1.428 MIDTOWN via 34 ST via MADISON AV,,,,,,,,,,,,,,,,,,
