,W 42 ST/8 AV,VETERANS RD E/ARTHUR KILL RD,HYLAN BL/WOODVALE AV,5 AV/W 46 ST,ARTHUR KILL RD/VETERANS RD W,HYLAN BL/CHELSEA ST,HYLAN BL/BEDELL AV,E 57 ST/MADISON AV,ROSSVILLE AV/OPP CORRELL AV,HYLAN BL/BAY VIEW AV,ROSSVILLE AV/POND ST,E 57 ST/ LEXINGTON AV,ROSSVILLE AV/CORRELL AV,E 57 ST/LEXINGTON AV,ROSSVILLE AV/WOODROW RD,ROSSVILLE AV/BARRY  ST,CRAIG AV/HYLAN BL,ROSSVILLE AV/VETERANS RD W,5 AV/W 54 ST,ARTHUR KILL RD/WEST SERVICE RD,HYLAN BL/SPRAGUE AV,MADISON AV/E 55  ST,HYLAN BL/BAYVIEW AV,WEST SHORE EXP/VICTORY BL,W 42 ST/AV OF THE AMERICAS,SEGUINE AV/DIRENZO CT,W 42 ST/6 AV,HYLAN BL/BRIGHTON ST,MADISON AV/E 48 ST,FOSTER RD/ALBOURNE AV,GLEN ST/VICTORY BL,W 42 ST/5 AV,SEGUINE AV/WATERBURY AV,W 42 ST/7 AV,FOSTER RD/RAMONA AV,FOSTER RD/RATBURN AV,HYLAN BL/CRAIG AV,Charleston Depot (CH)
W 42 ST/8 AV,,,,,,,,,,,,,,,,,,,,,,,,37.811 TOTTENVILLE via ROSSVILLE AV via FOSTER,,,,,,,,,,0.274 MIDTOWN via 42 ST via MADISON AV,,,,
VETERANS RD E/ARTHUR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.259 MIDTOWN via 42 ST via MADISON AV,,,,,,,
HYLAN BL/WOODVALE AV,,,,,,,2.472 TOTTENVILLE via ROSSVILLE AV via FOSTER,,,0.375 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 46 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.362 TOTTENVILLE via ROSSVILLE AV via FOSTER,,,,,,
ARTHUR KILL RD/VETERANS RD W,,1.187 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CHELSEA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.576 TOTTENVILLE via ROSSVILLE AV via FOSTER,
HYLAN BL/BEDELL AV,,,2.486 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,0.472 TOTTENVILLE via ROSSVILLE AV via FOSTER,,,,,,,,,,,,,,,,,4.606 to depot of SIM25
E 57 ST/MADISON AV,,,,,,,,,,,,,,0.312 MIDTOWN via 42 ST via MADISON AV,,,,,0.906 TOTTENVILLE via ROSSVILLE AV via FOSTER,,,,,,,,,,,,,,,,,,,
ROSSVILLE AV/OPP CORRELL AV,,,,,,,,,,,0.651 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BAY VIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.746 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,
ROSSVILLE AV/POND ST,,,,,1.024 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
