,BLOOMINGDALE RD/ENGLEWOOD AV,HYLAN BL/BRIGHTON ST,HYLAN BL/CRAIG AV,LEXINGTON AV/E 53 ST,AMBOY RD/CONNECTICUT ST,HYLAN BL/SPRAGUE AV,HYLAN BL/BEDELL AV,E 57 ST/MADISON AV,CRAIG AV/AMBOY RD,MADISON AV/E 55  ST,W 42 ST/6 AV,BLOOMINGDALE RD/SOUTH SERVICE RD,WEST SHORE EXP/VICTORY BL,AMBOY RD/BREHAUT AV,BLOOMINGDALE RD/ALYSIA CT,E 57 ST/LEXINGTON AV,LEXINGTON AV/E 46 ST,AMBOY RD/RICHMOND VALLEY RD,W 42 ST/5 AV,MADISON AV/E 48 ST,AMBOY RD/BEDELL ST,E 42 ST/MADISON AV,GLEN ST/VICTORY BL,AMBOY RD/MURRAY ST,W 42 ST/8 AV,BLOOMINGDALE RD/AMBOY RD,AMBOY RD/MAIN ST,VETERANS RD E/BLOOMINGDALE RD,AMBOY RD/PAGE AV,E 57 ST/ LEXINGTON AV,HYLAN BL/CHELSEA ST,W 42 ST/AV OF THE AMERICAS,PAGE AV/HYLAN BL,BLOOMINGDALE RD/KRAMER AV,AMBOY RD/BARNARD AV,BLOOMINGDALE RD/SHARROTTS RD,W 42 ST/7 AV,CRAIG AV/HYLAN BL,BLOOMINGDALE RD/VETERANS RD E,Charleston Depot (CH)
BLOOMINGDALE RD/ENGLEWOOD AV,,,,,,,,,,,,,,,0.665 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,0.319 TOTTENVILLE via BLMINGDALE RD via AMBOY,
HYLAN BL/BRIGHTON ST,,,,,,0.46 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CRAIG AV,,,,,,,,,0.555 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 53 ST,,,,,,,,,,,,,,,,,0.555 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/CONNECTICUT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61 TOTTENVILLE via BLMINGDALE RD via AMBOY,,
HYLAN BL/SPRAGUE AV,,,,,,,0.472 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,,,,,,,,,,,,,,,,,0.552 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,
HYLAN BL/BEDELL AV,,,,,,0.472 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,
E 57 ST/MADISON AV,,,,,,,,,,,,,,,,0.312 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,
CRAIG AV/AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.484 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,
MADISON AV/E 55  ST,,,,,,,,0.165 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 42 ST/6 AV,,,,,,,,,,,,,,,,,,,0.311 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/SOUTH SERVICE RD,0.382 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST SHORE EXP/VICTORY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.601 TOTTENVILLE via BLMINGDALE RD via AMBOY,
AMBOY RD/BREHAUT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.669 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,
BLOOMINGDALE RD/ALYSIA CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512 MIDTOWN via 42 ST via MADISON AV,,,,,,
E 57 ST/LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,
LEXINGTON AV/E 46 ST,,,,,,,,,,,,,,,,,,,,,,0.637 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,,,,,,,,,,,
AMBOY RD/RICHMOND VALLEY RD,,,,,,,,,,,,,,,,,,,,,0.953 MIDTOWN via 42 ST via MADISON AV,,,0.539 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,,,,,,,,,
W 42 ST/5 AV,,,,,,,,,,,,,,,,,,,,0.84 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 48 ST,,,,,,,,,,0.524 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/BEDELL ST,,,,,,,,,,,,,,,,,,0.953 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,0.37 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,
E 42 ST/MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.465 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,
GLEN ST/VICTORY BL,,,,,,,,,,,,,,,,,,,,,,,,,37.371 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,
AMBOY RD/MURRAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.832 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,
W 42 ST/8 AV,,,,,,,,,,,,,37.811 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,,,,,,,,,,,,,,,,,0.274 MIDTOWN via 42 ST via MADISON AV,,,
BLOOMINGDALE RD/AMBOY RD,,,,,,,,,,,,0.476 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/MAIN ST,,,,,0.387 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,,0.78 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,
VETERANS RD E/BLOOMINGDALE RD,,,,,,,,,,,,,,,,,,,,,,,8.183 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,
AMBOY RD/PAGE AV,,,,,,,,,,,,,,,,,,0.613 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,48.036 to depot of SIM26
E 57 ST/ LEXINGTON AV,,,,0.323 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CHELSEA ST,,,0.576 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 42 ST/AV OF THE AMERICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,
PAGE AV/HYLAN BL,,,,,,,0.577 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/KRAMER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.497 MIDTOWN via 42 ST via MADISON AV,,,,,,,,0.469 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,
AMBOY RD/BARNARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.689 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,,,,,,
BLOOMINGDALE RD/SHARROTTS RD,0.708 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 42 ST/7 AV,,,,,,,,,,,0.275 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,0.274 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,,,,,,,,
CRAIG AV/HYLAN BL,,0.687 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/VETERANS RD E,,,,,,,,,,,,,,,,,,,,,0.908 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,,,,,,,,1.497 TOTTENVILLE via BLMINGDALE RD via AMBOY,,,,,,
Charleston Depot (CH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.291 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,
