,BROADWAY/BARCLAY ST,BROADWAY /LIBERTY ST,HYLAN BL/BRIGHTON ST,HUGUENOT AV/AMBOY RD,BROADWAY/EXCHANGE ALLEY,WOODROW RD/HOLCOMB AV,TRINITY PL/RECTOR ST,ARDEN AV/ARTHUR KILL RD,HYLAN BL/SEGUINE AV,HYLAN BL/SPRAGUE AV,BROADWAY/CHAMBERS ST,ARTHUR KILL RD/WEST SERVICE RD,CRAIG AV/HYLAN BL,ARDEN AV/WOODROW RD,HYLAN BL/WOODVALE AV,HYLAN BL/BAYVIEW AV,ARDEN AV/HAMPTON GREEN,HYLAN BL/BEDELL AV,ARTHUR KILL RD/VETERANS RD E,WOODROW RD/BOULDER ST,CHURCH ST/WORTH ST,HUGUENOT AV/DRUMGOOLE RD E,HUGUENOT AV/RAMONA AV,CHURCH ST/CHAMBERS ST,HYLAN BL/HUGUENOT AV,BATTERY PL / WASHINGTON ST,BATTERY PL/WASHINGTON ST,HYLAN BL/CHELSEA ST,WOODROW RD/ALMOND ST,HYLAN BL/CRAIG AV,VETERANS RD E/ARTHUR KILL RD,ARTHUR KILL RD/ARDEN AV,HYLAN BL/LUTEN AV,GLEN ST/VICTORY BL,WOODROW RD/CANTON AV,HUGUENOT AV/RATHBUN AV,HUGUENOT AV/ DRUMGOOLE RD E,HYLAN BL/BAY VIEW AV,WOODROW RD/VINELAND AV,CHURCH ST/FULTON ST,WEST SHORE EXP/VICTORY BL,Charleston Depot (CH)
BROADWAY/BARCLAY ST,,0.376 TOTTENVILLE via HUGUENOT AV via HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY /LIBERTY ST,,,,,0.312 TOTTENVILLE via HUGUENOT AV via HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BRIGHTON ST,,,,,,,,,,0.46 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUGUENOT AV/AMBOY RD,,,,,,,,,,,,,,,,,,,,,,0.313 DOWNTOWN WORTH ST via CHURCH ST,,,1.438 TOTTENVILLE via HUGUENOT AV via HYLAN BL,,,,,,,,,,,,,,,,,
BROADWAY/EXCHANGE ALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,0.425 TOTTENVILLE via HUGUENOT AV via HYLAN BL,,,,,,,,,,,,,,,,
WOODROW RD/HOLCOMB AV,,,,,,,,,,,,,,0.415 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRINITY PL/RECTOR ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467 DOWNTOWN WORTH ST via CHURCH ST,,
ARDEN AV/ARTHUR KILL RD,,,,,,,,,,,,,,,,,0.569 TOTTENVILLE via HUGUENOT AV via HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/SEGUINE AV,,,,,,,,,,,,,,,,2.23 TOTTENVILLE via HUGUENOT AV via HYLAN BL,,,,,,,,,,,,,,,,,1.694 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,
HYLAN BL/SPRAGUE AV,,,,,,,,,,,,,,,,,,0.472 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,0.552 TOTTENVILLE via HUGUENOT AV via HYLAN BL,,,,,,,,,,,,,,
