,HAROLD ST/SUNSET AV,MARSH AV/RING RD,HAROLD ST/FOREST HILL RD,BRADLEY AV/HAROLD ST,N GANNON AV / MANOR RD,FOREST HILL RD/ROCKLAND AV,MERRYMOUNT ST/SHILOH ST,RICHMOND AV/FOREST HILL RD,ELTINGVILLE/TRANSIT CENTER,RION AV /HENNING ST,FOREST HILL RD/STEERS ST,MADISON AV/E 34 ST,5 AV/W 35 ST,S GANNON/GANSEVOORT BL,E 57 ST/MADISON AV,FOREST HILL RD/STEERS  ST,TRAVIS AV/BOGOTA ST,MADISON AV/E 41 ST,E 23 ST/2 AV,E 23 ST/1 AV,5 AV/W 40 ST,SCHMIDTS LA/SLOSSON AV,E 23 ST/PARK AV S,MARSH AV/ELMWOOD PK DR,E 57 ST/ LEXINGTON AV,E 23 ST/3 AV,MARSH AV/WESTPORT ST,TRAVIS AV/DENKER PL,E 23 ST/BROADWAY,SCHMIDTS LA/MANOR RD,S GANNON AV/BRADLEY AV,MADISON AV/E 47 ST,MARSH AV/WINDHAM LOOP,MADISON AV/E 54 ST,TRAVIS AV/LEWISTON ST,5 AV/W 51 ST,E 57 ST/LEXINGTON AV,RICHMOND AV/YUKON AV,N GANNON  AV / GANSEVOORT BL,BRADLEY AV/HOLDEN BL,BRADLEY AV/S GANNON AV,Charleston Depot (CH)
HAROLD ST/SUNSET AV,,,0.488 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558 MIDTOWN via 23 ST via MADISON AV,,
MARSH AV/RING RD,,,,,,,,,,,,,,,,,,,,,,,,0.969 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,,,,,
HAROLD ST/FOREST HILL RD,0.488 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,,,,0.478 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY AV/HAROLD ST,0.276 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N GANNON AV / MANOR RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,
FOREST HILL RD/ROCKLAND AV,,,,,,,,,,,1.004 MIDTOWN via 23 ST via MADISON AV,,,,,,0.552 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,
MERRYMOUNT ST/SHILOH ST,,1.09 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,0.676 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,,,
RICHMOND AV/FOREST HILL RD,,,,,,,,,1.532 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.238 MIDTOWN via 23 ST via MADISON AV,,,,
ELTINGVILLE/TRANSIT CENTER,,,,,,,,2.556 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.151 to depot of SIM31
RION AV /HENNING ST,,,,,0.392 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST HILL RD/STEERS ST,,,0.478 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 34 ST,,,,,,,,,,,,,,,,,,0.57 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 35 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,
S GANNON/GANSEVOORT BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.569 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,
E 57 ST/MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.931 ELTINGVILLE TRANS CTR via FOREST HILL RD,0.312 MIDTOWN via 23 ST via MADISON AV,,,,,
FOREST HILL RD/STEERS  ST,,,,,,1.004 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAVIS AV/BOGOTA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.311 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,
MADISON AV/E 41 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.543 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,
E 23 ST/2 AV,,,,,,,,,,,,,,,,,,,,0.242 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,0.203 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,,,,,
E 23 ST/1 AV,,,,,,,,,,27.287 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,0.242 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 40 ST,,,,,,,,,,,,,0.346 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHMIDTS LA/SLOSSON AV,,,,,,,,,,,,,,,,,,,,28.209 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,
E 23 ST/PARK AV S,,,,,,,,,,,,1.028 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,,,0.315 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,,,
MARSH AV/ELMWOOD PK DR,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349 MIDTOWN via 23 ST via MADISON AV,,,,,,0.858 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,
E 57 ST/ LEXINGTON AV,,,,,,,,,,,,,,,0.312 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 23 ST/3 AV,,,,,,,,,,,,,,,,,,,0.203 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,0.315 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,,,,,,,,
MARSH AV/WESTPORT ST,,,,,,,0.765 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAVIS AV/DENKER PL,,,,,,,0.707 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.541 MIDTOWN via 23 ST via MADISON AV,,,,,,,
E 23 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,0.24 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,,,,,,,,,,,,,,,,
SCHMIDTS LA/MANOR RD,,,,,,,,,,,,,,,,,,,,,,0.417 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,
S GANNON AV/BRADLEY AV,,,,,,,,,,,,,,0.44 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471 MIDTOWN via 23 ST via MADISON AV,,,,,,,,
MARSH AV/WINDHAM LOOP,,,,,,,,,,,,,,,,,,,,,,,,0.398 MIDTOWN via 23 ST via MADISON AV,,,,,,,,,,,,,,0.921 ELTINGVILLE TRANS CTR via FOREST HILL RD,,,,
