,MARSH AV/WINDHAM LOOP,DRUMGOOLE RD W/ ANNADALE RD,BROADWAY/BARCLAY ST,MARSH AV/RING RD,RICHMOND AV/SIGNS RD,MARSH AV/ELMWOOD PK DR,TRINITY PL/RECTOR ST,RICHMOND HILL RD/VASSAR ST,CHURCH ST/CHAMBERS ST,RICHMOND AV/MORANI ST,RICHMOND AV/YONA AV,RICHMOND AV/LAMBERTS LA,BROADWAY/RECTOR ST,RICHMOND AV/RIVINGTON AV,MARSH AV/WESTPORT ST,BROADWAY/CHAMBERS ST,RICHMOND AV/DRAPER PL S,BROADWAY/CORTLANDT ST,GREENWICH ST/BATTERY PL,RICHMOND AV/ROCKLAND AV,RICHMOND AV/VICTORY BL,ANNADALE RD/TOKEN ST,RICHMOND AV/ETON PL,RICHMOND AV/LANDER AV,ELTINGVILLE/TRANSIT CENTER,RICHMOND AV/NOME AV,RICHMOND AV/YUKON AV,LAMBERTS LA/ RICHMOND AV,RICHMOND AV/MERRILL AV,CHURCH ST/WORTH ST,RICHMOND AV/CARNEGIE AV,RICHMOND AV/TRAVIS AV,CHURCH ST/FULTON ST,BROADWAY/MORRIS ST,RICHMOND AV/FOREST HILL RD,Charleston Depot (CH)
MARSH AV/WINDHAM LOOP,,,,,,0.398 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,,,,,,,,,,,0.921 ANNADALE via RICHMOND AV,,,,,,,,,
DRUMGOOLE RD W/ ANNADALE RD,,,,,,,,,,,,,,,,,,,,,,0.656 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,,,,
BROADWAY/BARCLAY ST,,,,,,,,,,,,,,,,,,0.289 ANNADALE via RICHMOND AV,,,,,,,,,,,,,,,,,,
MARSH AV/RING RD,,,,,,0.969 ANNADALE via RICHMOND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/SIGNS RD,,,,,,,,,,,,,,9.963 ANNADALE via RICHMOND AV,,,,,,,,,0.911 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,,,
MARSH AV/ELMWOOD PK DR,0.858 ANNADALE via RICHMOND AV,,,,,,,,,,,,,,0.349 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,,,,,,,,,,,
TRINITY PL/RECTOR ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467 DOWNTOWN WORTH ST via CHURCH ST,,,
RICHMOND HILL RD/VASSAR ST,,,,0.787 ANNADALE via RICHMOND AV,,,,,,,,,,,,,,,,,,,,,,0.816 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,
CHURCH ST/CHAMBERS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 DOWNTOWN WORTH ST via CHURCH ST,,,,,,
RICHMOND AV/MORANI ST,,,,,,,,,,,0.311 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/YONA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,
RICHMOND AV/LAMBERTS LA,,,,,,,,,,,,,,,,,,,,,,,,0.191 ANNADALE via RICHMOND AV,,,,,,,,,,,,
BROADWAY/RECTOR ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 ANNADALE via RICHMOND AV,,
