,ARTHUR KILL RD/OPP ASPEN KNOLLS,BROADWAY/BROOME ST,WOODROW RD/BOULDER ST,RICHMOND AV/TRAVIS AV,MARSH AV/RING RD,ARTHUR KILL RD/ARDEN AV,TRINITY PL/RECTOR ST,MARSH AV/ELMWOOD PK DR,BROADWAY/W HOUSTON ST,BROADWAY/BARCLAY ST,W 57 ST/AV OF THE AMERICAS,RICHMOND AV/NOME AV,5 AV/W 32 ST,ARTHUR KILL RD/1547 ARTHUR KILL RD,ARDEN AV/HAMPTON GREEN,RICHMOND AV/LANDER AV,CHURCH ST/FULTON ST,ARDEN AV/WOODROW RD,MADISON AV/E 47 ST,5 AV/W 48 ST,BROADWAY/RECTOR ST,RICHMOND AV/MERRILL AV,AV OF THE AMERICAS/WAVERLY PL,MARSH AV/WESTPORT ST,CHURCH ST/CHAMBERS ST,RICHMOND AV/LAMBERTS LA,BROADWAY/WAVERLY PL,RICHMOND AV/FOREST HILL RD,AV OF THE AMERICAS/W 15 ST,WOODROW RD/VINELAND AV,5 AV/W 40 ST,ARTHUR KILL RD/ST JOHN NEWMANN,AV OF THE AMERICAS/W BROADWAY,BROADWAY/CHAMBERS ST,CENTRAL PARK S/6 AV,RICHMOND AV/VICTORY BL,WOODROW RD/HOLCOMB AV,RICHMOND AV/RIVINGTON AV,5 AV/E 55 ST,PARK AV SOUTH/E 22 ST,ARDEN AV/ARTHUR KILL RD,ANNADALE RD/TOKEN ST,MADISON AV/E 41 ST,E 23 ST/BROADWAY,RICHMOND AV/SIGNS RD,BROADWAY/MORRIS ST,BROADWAY/CORTLANDT ST,RICHMOND AV/DRAPER PL S,ELTINGVILLE/TRANSIT CENTER,CHURCH ST/WORTH ST,RICHMOND AV/MORANI ST,AV OF THE AMERICAS/PRINCE ST,RICHMOND AV/YUKON AV,ARTHUR KILL RD/WOODROW RD,BROADWAY/E 13 ST,WOODROW RD/ALMOND ST,RICHMOND AV/YONA AV,WOODROW RD/CANTON AV,GREENWICH ST/BATTERY PL,MADISON AV/E 54 ST,RICHMOND HILL RD/VASSAR ST,MADISON AV/E 34 ST,DRUMGOOLE RD W/ ANNADALE RD,LAMBERTS LA/ RICHMOND AV,MARSH AV/WINDHAM LOOP,Charleston Depot (CH)
ARTHUR KILL RD/OPP ASPEN KNOLLS,,,,,,,,,,,,,,0.537 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/BROOME ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/BOULDER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.83 to depot of SIM4C
RICHMOND AV/TRAVIS AV,,,,,,,,,,,,0.368 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/RING RD,,,,,,,,0.969 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ARDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.167 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRINITY PL/RECTOR ST,,,,,,,,,,,,,,,,,0.467 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/ELMWOOD PK DR,,,,,,,,,,,,,,,,,,,,,,,,0.349 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.858 HUGUENOT via RICHMOND AV via ARTHUR KILL,
BROADWAY/W HOUSTON ST,,0.43 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/BARCLAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,
W 57 ST/AV OF THE AMERICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/NOME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,0.826 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,
5 AV/W 32 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.694 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/1547 ARTHUR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.663 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,
ARDEN AV/HAMPTON GREEN,,,,,,0.569 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.816 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,
RICHMOND AV/LANDER AV,,,,,,,,,,,,,,,,,,,,,,0.383 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCH ST/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,0.435 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDEN AV/WOODROW RD,,,,,,,,,,,,,,,0.733 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471 MIDTOWN via CHURCH ST via MADISON AV,,,,,,
5 AV/W 48 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.633 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/RECTOR ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MERRILL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/WAVERLY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.652 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/WESTPORT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 MIDTOWN via CHURCH ST via MADISON AV,,,,,
CHURCH ST/CHAMBERS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,
RICHMOND AV/LAMBERTS LA,,,,,,,,,,,,,,,,0.191 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/WAVERLY PL,,,,,,,,,0.601 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/FOREST HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.532 HUGUENOT via RICHMOND AV via ARTHUR KILL,,,,1.238 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,
AV OF THE AMERICAS/W 15 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.902 MIDTOWN via CHURCH ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,
