,WOODROW RD/HOLCOMB AV,5 AV/W 48 ST,W 42 ST/8 AV,WOODROW RD/BERRY AV W,MADISON AV/E 47 ST,RICHMOND AV/YUKON AV,RICHMOND AV/MERRILL AV,RICHMOND HILL RD/VASSAR ST,RICHMOND AV/ETON PL,RICHMOND AV/YONA AV,W 42 ST/7 AV,W 42 ST/6 AV,RICHMOND AV/CHRISTOPHER LA,RICHMOND AV/SIGNS RD,5 AV/E 55 ST,LAMBERTS LA/RICHMOND AV,LAMBERTS LA/MAY AV,RICHMOND AV/LANDER AV,RICHMOND AV/CARNEGIE AV,W 42 ST/AV OF THE AMERICAS,RICHMOND AV/RIVINGTON AV,ELTINGVILLE/TRANSIT CENTER,MARSH AV/RING RD,MADISON AV/E 54 ST,WOODROW RD/CANTON AV,MARSH AV/WESTPORT ST,E 57 ST/ LEXINGTON AV,RICHMOND AV/DRAPER PL S,E 57 ST/MADISON AV,WOODROW RD/VINELAND AV,RICHMOND AV/FOREST HILL RD,GOETHALS RD N/LAMBERT ST,W 42 ST/5 AV,WOODROW RD/SHOTWELL AV,RICHMOND AV/VICTORY BL,RICHMOND AV/MORANI ST,WOODROW RD/CARLTON BL,WOODROW RD/OAK LA,E 57 ST/LEXINGTON AV,RICHMOND AV/NOME AV,WOODROW RD/BOULDER ST,RICHMOND AV/TRAVIS AV,MARSH AV/WINDHAM LOOP,GOETHALS RD N/SOUTH AV,RICHMOND AV/ROCKLAND AV,MARSH AV/ELMWOOD PK DR,Charleston Depot (CH)
WOODROW RD/HOLCOMB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,
5 AV/W 48 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,
W 42 ST/8 AV,,,,,,,,,,,0.274 MIDTOWN via 42 ST via MADISON AV,,,,,,35.42 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/BERRY AV W,,,,,,,,,,,,,,,,,,,,,,2.246 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 47 ST,,,,,,,,,,,,,,,,,,,,,,,,0.471 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.676 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,1.165 MIDTOWN via 42 ST via MADISON AV,,,,
RICHMOND AV/MERRILL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,
RICHMOND HILL RD/VASSAR ST,,,,,,,,,,,,,,,,,,,,,,,0.787 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,0.816 MIDTOWN via 42 ST via MADISON AV,,,,,,,
RICHMOND AV/ETON PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,
RICHMOND AV/YONA AV,,,,,,,,,,,,,0.29 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 42 ST/7 AV,,,0.274 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,0.275 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 42 ST/6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,
RICHMOND AV/CHRISTOPHER LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,
RICHMOND AV/SIGNS RD,,,,,,,,,0.911 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,9.963 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 55 ST,,0.571 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMBERTS LA/RICHMOND AV,,,,,,,,,,,,,,,,,,0.182 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMBERTS LA/MAY AV,,,,,,,,,,,,,,,,0.361 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/LANDER AV,,,,,,,0.383 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/CARNEGIE AV,,,,,,,,,,,,,,0.342 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 42 ST/AV OF THE AMERICAS,,,,,,,,,,,0.275 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/RIVINGTON AV,,,,,,,,,,,,,,12.216 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.809 ARDEN HTS via RICHMOND AV via WOODROW RD,,
ELTINGVILLE/TRANSIT CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.556 MIDTOWN via 42 ST via MADISON AV,,,,,,,1.948 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,
MARSH AV/RING RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.969 ARDEN HTS via RICHMOND AV via WOODROW RD,
MADISON AV/E 54 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,
WOODROW RD/CANTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,
MARSH AV/WESTPORT ST,,,,,,,,0.312 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 57 ST/ LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,
RICHMOND AV/DRAPER PL S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.047 MIDTOWN via 42 ST via MADISON AV,,
E 57 ST/MADISON AV,,,,,,,,,,,,,,,0.613 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,0.312 MIDTOWN via 42 ST via MADISON AV,,,,,,,,
WOODROW RD/VINELAND AV,0.662 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
