,Time (s),ID,Route,Next Stop,Current Stop,Direction,Total Distance (Km),Total Energy (KWh),SOC,At Stop,Previous Direction
297,0,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,True,BATTERY PK CITY via AVENUE C via PK ROW
717,10,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,True,BATTERY PK CITY via AVENUE C via PK ROW
1137,20,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,True,BATTERY PK CITY via AVENUE C via PK ROW
1557,30,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
1977,40,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
2397,50,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
2817,60,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
3237,70,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
3657,80,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
4077,90,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
4497,100,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
4917,110,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
5337,120,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
5757,130,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
6177,140,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
