Half_Hour,Charger 1,Charger 2,Charger 3,Charger 4,Charger 5,Charger 6,Charger 7,Charger 8,Charger 9,Charger 10,Charger 11,Charger 12,Charger 13,Charger 14,Charger 15,Charger 16,Charger 17,Charger 18,Charger 19,Charger 20,Total,Hour
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1
1.5,41.46682944480127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,41.46682944480127,1
2.0,36.65346166063958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,36.65346166063958,2
2.5,243.25370794979003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,243.25370794979003,2
3.0,205.83174264324333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,205.83174264324333,3
3.5,168.01887083282205,74.36578030839658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,242.3846511412187,3
4.0,275.38415516747824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,275.38415516747824,4
4.5,248.06707573395175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,248.06707573395175,4
5.0,280.19752295164,36.65346166063958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,316.8509846122796,5
5.5,242.38465114121868,41.46682944480127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,283.85148058601993,5
