ID,Route,Scheduled Launch Time,Actual Launch Time,Arrival Time,Distance Travelled (Km),Energy Consumed (KWh),Launching SOC,Arriving SOC
187,M86-SBS,0 days 01:20:00,0 days 01:20:00,0 days 01:57:50,8.978999999999957,16.52136000000006,0.9,0.782
115,M42,0 days 01:24:00,0 days 01:24:00,0 days 02:10:10,7.943999999999973,14.616960000000063,0.9,0.7956
188,M86-SBS,0 days 02:00:00,0 days 02:00:00,0 days 02:37:50,8.978999999999957,16.52136000000006,0.9,0.782
211,M79-SBS,0 days 01:22:00,0 days 01:22:00,0 days 02:42:00,16.2579999999999,29.9147199999999,0.9,0.6863
61,M14D-SBS,0 days 01:04:00,0 days 01:04:00,0 days 02:47:30,19.464999999999872,35.81559999999984,0.9,0.6442
116,M42,0 days 02:09:00,0 days 02:09:00,0 days 02:55:10,7.943999999999973,14.616960000000063,0.9,0.7956
32,M14A-SBS,0 days 01:30:00,0 days 01:30:00,0 days 03:07:10,19.122999999999877,35.18631999999985,0.9,0.6487
189,M86-SBS,0 days 02:40:00,0 days 02:40:00,0 days 03:17:50,8.978999999999957,16.52136000000006,0.9,0.782
212,M79-SBS,0 days 02:02:00,0 days 02:02:00,0 days 03:22:00,16.2579999999999,29.9147199999999,0.9,0.6863
117,M42,0 days 02:54:00,0 days 02:54:00,0 days 03:40:10,7.943999999999973,14.616960000000063,0.9,0.7956
309,M23-SBS,0 days 02:20:00,0 days 02:20:00,0 days 03:40:10,15.875999999999905,29.211839999999906,0.9,0.6913
62,M14D-SBS,0 days 02:04:00,0 days 02:04:00,0 days 03:47:30,19.464999999999872,35.81559999999984,0.9,0.6442
190,M86-SBS,0 days 03:20:00,0 days 03:20:00,0 days 03:57:50,8.978999999999957,16.52136000000006,0.9,0.782
213,M79-SBS,0 days 02:42:00,0 days 02:42:00,0 days 04:02:00,16.2579999999999,29.9147199999999,0.9,0.6863
33,M14A-SBS,0 days 02:30:00,0 days 02:30:00,0 days 04:07:10,19.122999999999877,35.18631999999985,0.9,0.6487
310,M23-SBS,0 days 03:00:00,0 days 03:00:00,0 days 04:20:10,15.875999999999905,29.211839999999906,0.9,0.6913
118,M42,0 days 03:39:00,0 days 03:39:00,0 days 04:25:10,7.943999999999973,14.616960000000063,0.9,0.7956
191,M86-SBS,0 days 04:00:00,0 days 04:00:00,0 days 04:37:50,8.978999999999957,16.52136000000006,0.9,0.782
214,M79-SBS,0 days 03:22:00,0 days 03:22:00,0 days 04:42:00,16.2579999999999,29.9147199999999,0.9,0.6863
